Texto,Tema,Clase
La línea de metro suspenderá su servicio en tres estaciones durante el fin de semana por mantenimiento preventivo en las vías.,Transporte,No sensacionalista
¡Actor enloquece en vivo! Golpea salvajemente a un presentador y amenaza con incendiar el estudio de grabación por completo.,Entretenimiento,Sensacionalista
La ceremonia de premios a la televisión concluyó con un homenaje a la trayectoria del reconocido director de cine independiente.,Entretenimiento,No sensacionalista
¡Gatos diabólicos! Una nueva enfermedad transmitida por felinos domésticos está dejando a familias enteras en coma profundo.,Mascotas,Sensacionalista
Veterinarios advierten sobre la importancia de desparasitar a las mascotas regularmente para prevenir enfermedades comunes.,Mascotas,No sensacionalista
¡Mafia de los alquileres! Propietarios sin escrúpulos expulsan a ancianos a la calle para cobrar el triple a extranjeros ricos.,Bienes Raíces,Sensacionalista
Nuevo proyecto de ley busca regular los precios de alquiler en zonas céntricas para facilitar el acceso a la vivienda.,Bienes Raíces,No sensacionalista
¡Maquillaje letal! El labial de moda que contiene plomo puro y está envenenando silenciosamente a las jóvenes del país.,Moda,Sensacionalista
Empresa de cosméticos retiró voluntariamente un lote de sus productos tras detectar leves inconsistencias en el empaquetado.,Moda,No sensacionalista
"¡Huracán apocalíptico! Vientos destructores borrarán la costa del mapa en menos de veinticuatro horas, huye mientras puedas.",Ciencia & Clima,Sensacionalista
Protección civil recomienda asegurar puertas y ventanas ante la posible llegada de ráfagas de viento a la zona costera.,Ciencia & Clima,No sensacionalista
¡Profesores acosadores! La red secreta de maestros que vigila a los alumnos por cámaras ocultas en los baños del colegio.,Educación,Sensacionalista
Sindicato de maestros llegó a un acuerdo salarial con el gobierno local tras dos semanas de negociaciones formales.,Educación,No sensacionalista
¡Taxis de la muerte! Conductores psicópatas están secuestrando pasajeros a plena luz del día bajo la mirada cómplice de la policía.,Transporte,Sensacionalista
Plataforma de movilidad compartida ajustará sus tarifas en un cinco por ciento a partir del inicio del próximo mes.,Transporte,No sensacionalista
¡Ídolo juvenil hundido en las drogas! Fotos exclusivas lo muestran consumiendo sustancias letales en un antro de perdición.,Entretenimiento,Sensacionalista
La banda de rock confirmó las fechas de su próxima gira latinoamericana que iniciará a principios del año entrante.,Entretenimiento,No sensacionalista
¡Aves portadoras de la peste! Palomas mutantes están esparciendo un virus carnívoro desde los techos de la ciudad.,Mascotas,Sensacionalista
El zoológico municipal anunció el nacimiento de tres crías de flamenco como parte de su programa de conservación.,Mascotas,No sensacionalista
¡Burbuja a punto de estallar! Los precios de los apartamentos caerán a cero y perderás todos los ahorros de tu vida hoy.,Bienes Raíces,Sensacionalista
Expertos en economía sugieren que el mercado de oficinas tardará varios años en recuperar los niveles de ocupación previos a la crisis.,Bienes Raíces,No sensacionalista
¡Zapatos que mutilan! Deportivas de marca famosa están deformando los pies de los atletas causando amputaciones terribles.,Moda,Sensacionalista
Feria textil congrega a cientos de empresarios del sector para discutir las nuevas tendencias en exportación de prendas.,Moda,No sensacionalista
¡Inundación bíblica! Represas a punto de reventar ahogarán a pueblos enteros mientras los políticos escapan en helicópteros privados.,Ciencia & Clima,Sensacionalista
El nivel de los embalses se encuentra en un promedio estable tras las precipitaciones registradas durante el último mes.,Ciencia & Clima,No sensacionalista
¡Adoctrinamiento forzado! Libros de texto incluyen mensajes subliminales para que los niños odien a sus propios padres.,Educación,Sensacionalista
La facultad de ciencias sociales publicó un estudio sobre el impacto de la lectura comprensiva en el rendimiento académico.,Educación,No sensacionalista
¡Tren fantasma fuera de control! Una locomotora a toda velocidad se dirige al centro de la ciudad para causar una carnicería.,Transporte,Sensacionalista
Ministerio de transporte inauguró el nuevo puente colgante que conectará a las dos provincias más aisladas del sur.,Transporte,No sensacionalista
¡Divorcio sangriento! Pareja de Hollywood se enfrenta a cuchillazos por la custodia de sus hijos y su mansión de oro.,Entretenimiento,Sensacionalista
Festival de cine documental abre su convocatoria para recibir largometrajes producidos por jóvenes realizadores iberoamericanos.,Entretenimiento,No sensacionalista
¡Comida de mascotas envenenada! Croquetas de supermercado están matando a miles de perros en una agonía espantosa.,Mascotas,Sensacionalista
La venta de alimentos premium para mascotas experimentó un crecimiento sustained en los supermercados de cadena de la región.,Mascotas,No sensacionalista
¡Derrumbe inminente! Tu edificio está construido con arena y colapsará sobre tu cabeza al primer temblor leve.,Bienes Raíces,Sensacionalista
Fondo de inversión adquiere un complejo de oficinas en el distrito financiero para destinarlo a espacios de trabajo colaborativo.,Bienes Raíces,No sensacionalista
¡Pantalones cancerígenos! La tela sintética que absorbe radiación y te condena a una muerte lenta y dolorosa e irreversible.,Moda,Sensacionalista
Organización no gubernamental promueve el intercambio de prendas usadas para reducir el impacto ambiental de la industria textil.,Moda,No sensacionalista
¡Sequía mortal! El agua potable se agotará mañana mismo y comenzarás a morir de sed en tu propia casa sin ayuda.,Ciencia & Clima,Sensacionalista
Agricultores implementan nuevos sistemas de riego por goteo para optimizar el uso de recursos hídricos en época de sequía.,Ciencia & Clima,No sensacionalista
¡Ciborgs en las aulas! Niños con chips cerebrales están reemplazando a los estudiantes humanos en un experimento gubernamental macabro.,Educación,Sensacionalista
Foro internacional debate los retos de integrar herramientas de inteligencia artificial en la evaluación de estudiantes universitarios.,Educación,No sensacionalista
¡Quiebra nacional inminente! Todos los bancos cerrarán sus puertas y la inflación devorará los salarios en cuestión de horas.,Economía,Sensacionalista
El Ministerio de Economía anunció un ajuste en las tasas de interés para contener el incremento inflacionario trimestral.,Economía,No sensacionalista
¡Bancarrotas en cadena! Millones de familias perderán sus ahorros por el colapso financiero total del sistema crediticio.,Economía,Sensacionalista
La superintendencia financiera reportó un incremento moderado en los índices de morosidad comercial durante el último semestre.,Economía,No sensacionalista
¡Tragedia en la cancha! Violencia desmedida y sangre tiñen el clásico de fútbol tras batalla campal entre hinchas armados.,Deportes,Sensacionalista
El comité disciplinario de la liga sancionó a dos clubes con multas económicas por disturbios menores en las tribunas.,Deportes,No sensacionalista
¡Escándalo arbitral histórico! Árbitro vendido comete fraude descarado para coronar al equipo más odiado del país.,Deportes,Sensacionalista
La federación de fútbol evaluó el uso del sistema de videoarbitraje tras las polémicas decisiones de la jornada deportiva.,Deportes,No sensacionalista
¡Asteroide mortal se aproxima a la Tierra! La NASA oculta que un impacto devastador destruirá la civilización la próxima semana.,Ciencia & Clima,Sensacionalista
La agencia espacial publicó los datos de seguimiento orbital de un asteroide cercano que pasará a una distancia segura de la órbita lunar.,Ciencia & Clima,No sensacionalista
¡El sol se está apagando! Científicos alertan que una era de hielo perpetua congelará a los seres humanos este mismo año.,Ciencia & Clima,Sensacionalista
Investigadores solares reportan un descenso periódico en las manchas solares acorde a los ciclos normales de actividad heliomagnética.,Ciencia & Clima,No sensacionalista
